chr	suffix	name	seq
1	A	X167J	1112022212222222222222222222222222222222222222222222211
1	A	X167G	1222222222222222222222222222222222222222222222222222222
1	A	X167L	1111112222222222222212222222222222222222222222222222222
1	A	X167H	1122222222222222222222222222222222222222222222222222222
1	A	internal_5	1122222222222222222222222222222222222222222222222222222
1	A	internal_6	1122222222222222222222222222222222222222222222222222222
1	A	internal_4	1122222222222222222222222222222222222222222222222222222
1	A	X167D	2222222222222222222222222222222222222222322222222222222
1	A	X167E	1111111111111111111111111122211111111222222221111111111
1	A	X167C	1111111111111111111111111122111111111222222221111111111
1	A	internal_2	1111111111111111111111111122111111111222222221111111111
1	A	internal_3	2222222222222222222222222222222222222222222222222222222
1	A	internal_1	2222222222222222222222222222222222222222222222222222222
1	A	diploid	1111111111111111111111111111111111111111111111111111111
1	B	X167J	1111111111111111111000000011101001101222211110111111112
1	B	X167G	1112111212211211112000000021101002202212222220122222222
1	B	X167L	0000001111111111111000000022201002202222222220222222222
1	B	X167H	1111111111111111111000000011101002201111111120112221222
1	B	internal_5	1111111111111111111000000011101002202222222220222222222
1	B	internal_6	1111111111111111111000000011101002202222222220222222222
1	B	internal_4	1111111111111111111000000011101002202222222220222222222
1	B	X167D	1111111111111111111000000022201002202222222220112222222
1	B	X167E	1111111111111111111000000011101001101111111110222222222
1	B	X167C	1111111111111111111000000011101001101111111110222222222
1	B	internal_2	1111111111111111111000000011101001101111111110222222222
1	B	internal_3	1111111111111111111000000011101002202222222220222222222
1	B	internal_1	1111111111111111111000000011101002202222222220222222222
1	B	diploid	1111111111111111111111111111111111111111111111111111111
2	A	X167J	22212222222222222222222222221
2	A	X167G	22222222222222222222222222222
2	A	X167L	22212222222222212222222222221
2	A	X167H	22222222222211212222222222221
2	A	internal_5	22222222222222212222222222221
2	A	internal_6	22222222222222222222222222221
2	A	internal_4	22222222222222222222222222221
2	A	X167D	22222222222222222222222222222
2	A	X167E	11111111111111111122222222111
2	A	X167C	11111111111111111122222222111
2	A	internal_2	11111111111111111122222222111
2	A	internal_3	22222222222222222222222222222
2	A	internal_1	22222222222222222222222222222
2	A	diploid	11111111111111111111111111111
2	B	X167J	11111111111111111112222121000
2	B	X167G	11111111111111111222222122000
2	B	X167L	11111111111111111222222121000
2	B	X167H	11111111111111111222222111000
2	B	internal_5	11111111111111111222222121000
2	B	internal_6	11111111111111111222222121000
2	B	internal_4	11111111111111111222222121000
2	B	X167D	11111111111111111111122221000
2	B	X167E	11111111111111111111111111000
2	B	X167C	11111111111111111111111111000
2	B	internal_2	11111111111111111111111111000
2	B	internal_3	11111111111111111222222221000
2	B	internal_1	11111111111111111111111111000
2	B	diploid	11111111111111111111111111111
3	A	X167J	222222222111122222222222
3	A	X167G	222222222111122222222222
3	A	X167L	222212222222222222212222
3	A	X167H	222212222000022222111222
3	A	internal_5	222212222111122222222222
3	A	internal_6	222222222111122222222222
3	A	internal_4	222222222111122222222222
3	A	X167D	222222222222222222222222
3	A	X167E	111111111121111111111111
3	A	X167C	111111111121112111111111
3	A	internal_2	111111111121111111111111
3	A	internal_3	222222222222222222222222
3	A	internal_1	111111111111111111111111
