Sample,,Probe target info,Height,Area,Intra ratio,Pre ratio,Final ratio,Stdev,RefPop,SamPop,d(nt),Width
167b,[01p (n=5)].[DVL1-1],01-001.274237,3116,21893,1.29,1.49,1.26,0.22,Equal,Equal,0.04,45
167b,[01p (n=5)].[PRDM16-3],01-003.150503,1396,15204,1.24,1.08,1.24,0.2,Equal,Equal,0.03,66
167b,[01p (n=5)].[CHD5-2],01-006.150830,1185,13358,1.24,1.06,1.23,0.24,Equal,Equal,0.02,53
167b,[01p (n=5)].[CAMTA1-18],01-007.727575,2212,18945,1,0.95,1,0.08,Equal,Equal,0.03,44
167b,[01p (n=5)].[KIF1B-2],01-010.214967,3039,20528,0.87,0.99,0.87,0.11,Equal,Equal,-0.01,35
167b,[03p (n=4)].[VHL-1],03-010.158544,3647,29025,1.24,1.29,1.24,0.24,Equal,Equal,-0.02,56
167b,[03p (n=4)].[VHL-2],03-010.163233,1894,17602,0.99,0.92,0.98,0.08,Equal,Equal,0.02,49
167b,[03p (n=4)].[FHIT-7],03-059.972109,1753,13673,0.84,0.87,0.85,0.13,Equal,Equal,-0.06,55
167b,[03p (n=4)].[FHIT-4],03-060.782680,1768,14868,0.83,0.82,0.83,0.15,Equal,Equal,-0.01,43
167b,[05q (n=2)].[APC-12],05-112.182873,1694,13197,0.93,0.95,0.93,0.09,Equal,Equal,0,50
167b,[05q (n=2)].[APC-18],05-112.206814,1018,10523,0.94,0.85,0.94,1,Equal,Equal,0.08,49
167b,[09p (n=3)].[CDKN2A-4],09-021.958641,3946,32333,1.07,1.17,1.06,0.11,Equal,Equal,0.01,61
167b,[09p (n=3)].[CDKN2A-3],09-021.961213,3038,20599,1,1.14,0.99,0.08,Equal,Equal,-0.04,48
167b,[09p (n=3)].[CDKN2B-1],09-021.998809,2015,21348,1.14,1.05,1.17,1,Equal,Equal,0.07,64
167b,[09q (n=4)].[PTCH1-20],09-097.258441,3570,26047,1.01,1.11,1.01,0.1,Equal,Equal,0,46
167b,[09q (n=4)].[PTCH1-5],09-097.284232,1816,14708,0.93,0.94,0.93,0.11,Equal,Equal,-0.02,49
167b,[09q (n=4)].[TSC1-18],09-134.767854,3416,28246,1.01,1.01,1.05,1,Equal,Equal,0.01,57
167b,[09q (n=4)].[TSC1-1],09-134.809748,3663,28767,1.15,1.21,1.14,0.15,Equal,Equal,-0.02,60
167b,[10q (n=3)].[PTEN-4],10-089.680713,1719,15738,0.89,0.86,0.89,0.13,Equal,Equal,0,55
167b,[10q (n=3)].[PTEN-5],10-089.682864,2115,19496,0.9,0.86,0.9,0.12,Equal,Equal,0,63
167b,[10q (n=3)].[PTEN-8],10-089.710865,1423,14142,0.84,0.78,0.83,0.14,Equal,Equal,0.04,51
167b,[11p (n=2)].[WT1-11],11-032.366613,1547,17327,1.03,0.89,1.01,0.13,Equal,Equal,0.03,72
167b,[11p (n=2)].[WT1-1],11-032.413841,3144,24378,1.19,1.26,1.18,0.17,Equal,Equal,-0.01,52
167b,[13q (n=6)].[BRCA2-3],13-031.791351,2846,19410,0.88,0.98,0.88,0.12,Equal,Equal,0,46
167b,[13q (n=6)].[BRCA2-9],13-031.803112,3249,24253,0.87,0.93,0.87,0.11,Equal,Equal,-0.05,46
