Sample,Probe target,Height,Area,Final.ratio,Stdev,symbol
167b,01-001.274237,3116,21893,1.26,0.22,DVL1-1
167b,01-003.150503,1396,15204,1.24,0.2,PRDM16-3
167b,01-006.150830,1185,13358,1.23,0.24,CHD5-2
167b,01-007.727575,2212,18945,1,0.08,CAMTA1-18
167b,01-010.214967,3039,20528,0.87,0.11,KIF1B-2
167b,03-010.158544,3647,29025,1.24,0.24,VHL-1
167b,03-010.163233,1894,17602,0.98,0.08,VHL-2
167b,03-059.972109,1753,13673,0.85,0.13,FHIT-7
167b,03-060.782680,1768,14868,0.83,0.15,FHIT-4
167b,05-112.182873,1694,13197,0.93,0.09,APC-12
167b,05-112.206814,1018,10523,0.94,1,APC-18
167b,09-021.958641,3946,32333,1.06,0.11,CDKN2A-4
167b,09-021.961213,3038,20599,0.99,0.08,CDKN2A-3
167b,09-021.998809,2015,21348,1.17,1,CDKN2B-1
167b,09-097.258441,3570,26047,1.01,0.1,PTCH1-20
167b,09-097.284232,1816,14708,0.93,0.11,PTCH1-5
167b,09-134.767854,3416,28246,1.05,1,TSC1-18
167b,09-134.809748,3663,28767,1.14,0.15,TSC1-1
167b,10-089.680713,1719,15738,0.89,0.13,PTEN-4
167b,10-089.682864,2115,19496,0.9,0.12,PTEN-5
167b,10-089.710865,1423,14142,0.83,0.14,PTEN-8
167b,11-032.366613,1547,17327,1.01,0.13,WT1-11
167b,11-032.413841,3144,24378,1.18,0.17,WT1-1
167b,13-031.791351,2846,19410,0.88,0.12,BRCA2-3
167b,13-031.803112,3249,24253,0.87,0.11,BRCA2-9
167b,13-047.814761,1742,19373,0.99,0.08,RB1-3
167b,13-047.948892,2673,23903,0.95,0.08,RB1-25
167b,13-049.521254,5241,35565,0.94,0.09,MIR15A-1
167b,13-049.576833,3300,21236,0.85,0.12,DLEU1-2
167b,16-002.038612,2694,18488,1.04,0.09,TSC2-1
167b,16-002.067648,1508,13854,1.1,0.15,TSC2-25
167b,16-002.076651,3036,22792,1.09,0.19,TSC2-38
167b,17-007.514677,1485,15876,1.08,1,TP53-10
167b,17-007.519217,3280,25853,1,0.08,TP53-4b
167b,17-007.531504,3295,26938,1.05,0.16,TP53-1
167b,17-026.577746,1397,14276,0.96,0.09,NF1-18
167b,17-026.681489,3249,24148,0.94,0.1,NF1-39
167b,17-038.450829,2139,21199,0.98,0.08,BRCA1-24
167b,17-038.479889,3254,28619,0.97,0.13,BRCA1-15
167b,17-038.510430,2125,15806,0.88,0.12,BRCA1-6
167b,18-046.829678,2282,20006,0.91,0.13,SMAD4-4
167b,18-046.858705,1887,20199,1.02,1,SMAD4-12
167b,19-001.157954,3025,21416,1.1,0.14,STK11-1
167b,19-001.170331,2233,16889,1.09,0.12,STK11-3
167b,19-018.503959,2491,20335,1.12,0.14,FKBP8-9
167b,19-018.511130,2726,19923,1.1,0.12,FKBP8-4
167b,22-022.459352,2659,22156,1.16,0.2,SMARCB1-1
167b,22-022.506421,2714,18665,1.02,0.1,SMARCB1-9
167b,X-063.326842,480,4791,1.01,1,AMER1-2
167b,X-063.342134,2648,17120,1.18,0.2,AMER1-1
167b,02-061.126370,1853,21293,1.04,0.1,References PEX13
167b,02-189.557818,3603,26137,0.96,0.09,References COL3A1
