"","chr","start.region","class","allGenes","cn","entrez","symbol","description","locus","hprd","hgnc","mim","refpro","refdna","ensembl","uniprot","cancer","cancer_type","cancer_dom","cancer_rec","duplicability","origin","mirna","function.","chromosome","tstart","tend","aliases","main_refseq","duplicability_main_refseq","potential_false_positive","primary_sites","degree","betweenness","clustering","complexes","p_value","p_value.adj","f_value","NA."
"1",16,86138570,"lm-ex_bm-lm_lm-ce_ex-ce_bm-ce_bm-ex","FENDRR;LINC01081;FENDRR;ZCCHC14;LINC01082;LINC00917;LOC146513;FOXC2;FOXF1;FLJ30679;MTHFSD;MTHFSD;MTHFSD;MTHFSD;FOXL1;MTHFSD;FOXC2-AS1;MTHFSD;MTHFSD;LOC101928614;LOC102724344;LOC102724344;LOC440390;LOC101928708;LOC101928682;FBXO31;MAP1LC3B;C16orf95;C16orf95;FBXO31;C16orf95;LOC101928659","ce -0.3333333;ex  0.2500000;lm -1.6666667;bm  0.0000000",79791,"FBXO31","F-box protein 31","16q24.2","10954","16510","609102","NP_001269612;NP_079011","NM_001282683;NM_024735","ENSP00000310841","Q5XUX0",TRUE,"can",0,0,0,"Metazoans",2,"-1","chr16",87364897,87417350,"|FBX14|FBXO14|Fbx31|MRT45|pp2386|","NP_079011",0,FALSE,1,9,156,0.306,1,0.00128533335228492,0.0514133340913968,10.1818181818182,NA
"2",1,1848734,"bm-lm_bm-ex_lm-ce_ex-ce_bm-ce_lm-ex","PRKCZ;PRKCZ;PRKCZ;CFAP74;GNB1;GNB1;GNB1;MORN1;MORN1;CALML6;TMEM52;GABRD;FAAP20;FAAP20;FAAP20;FAAP20;FAAP20;FAAP20;FAAP20;FAAP20;FAAP20;FAAP20;PRKCZ;LOC100129534;SKI;PEX10;RER1;MORN1;PEX10","ce  0.0000000;ex -0.6666667;lm -1.0000000;bm  0.6666667",85452,"CFAP74","cilia and flagella associated protein 74","1p36.33","-","29368","-","NP_001073953;XP_005244868;XP_006711060;XP_006711061","NM_001080484;XM_005244811;XM_006710997;XM_006710998","ENSP00000417061",NA,TRUE,"can",0,0,0,"Metazoans",0,"-1","chr1",1853729,1922395,"|C1orf222|KIAA1751|","XP_005244868",0,FALSE,1,NA,NA,NA,NA,0.00338770002458337,0.0677540004916674,9.80769230769231,NA
"3",11,906708,"bm-lm_bm-ex_lm-ce_bm-ce_ex-ce_lm-ex","BRSK2;BRSK2;BRSK2;BRSK2;MUC5AC;SYT8;SYT8;SYT8;SYT8;BRSK2;KRTAP5-AS1;BRSK2;CHID1;CHID1;CHID1;CHID1;CHID1;AP2A2;AP2A2;MUC6;MUC2;TOLLIP-AS1;MUC5B;TOLLIP;MIR6744;TOLLIP;TOLLIP;TOLLIP;TOLLIP;DUSP8;MOB2;MOB2;FAM99B;FAM99A;FAM99B;KRTAP5-4;KRTAP5-3;KRTAP5-1;KRTAP5-2;KRTAP5-5;KRTAP5-6;IFITM10;CTSD;TNNI2;MIR7847;LSP1;LSP1;LSP1;TNNI2;TNNT3;MIR4298;TNNI2;TNNT3;TNNT3;TNNT3;LSP1;TNNT3;LSP1;LSP1;LINC01150;MRPL23;SNORD131;MIR675;HOTS;MRPL23-AS1;LINC01219;H19;H19;H19","ce  0.0000000;ex -0.5000000;lm -0.6666667;bm  0.6666667",4583,"MUC2","mucin 2 oligomeric mucus/gel-forming","11p15.5","-","7512","158370","NP_002448","NM_002457","ENSP00000415183","Q02817",TRUE,"can",0,0,0,"Eukaryotes",0,"Multicellular activities","chr11",1074902,1104260,"|MUC-2|","NP_002448",0,FALSE,1,5,4491,0.1,NA,0.0105677471423249,0.0943842737194247,5.85714285714286,NA
"4",11,906708,"bm-lm_bm-ex_lm-ce_bm-ce_ex-ce_lm-ex","BRSK2;BRSK2;BRSK2;BRSK2;MUC5AC;SYT8;SYT8;SYT8;SYT8;BRSK2;KRTAP5-AS1;BRSK2;CHID1;CHID1;CHID1;CHID1;CHID1;AP2A2;AP2A2;MUC6;MUC2;TOLLIP-AS1;MUC5B;TOLLIP;MIR6744;TOLLIP;TOLLIP;TOLLIP;TOLLIP;DUSP8;MOB2;MOB2;FAM99B;FAM99A;FAM99B;KRTAP5-4;KRTAP5-3;KRTAP5-1;KRTAP5-2;KRTAP5-5;KRTAP5-6;IFITM10;CTSD;TNNI2;MIR7847;LSP1;LSP1;LSP1;TNNI2;TNNT3;MIR4298;TNNI2;TNNT3;TNNT3;TNNT3;LSP1;TNNT3;LSP1;LSP1;LINC01150;MRPL23;SNORD131;MIR675;HOTS;MRPL23-AS1;LINC01219;H19;H19;H19","ce  0.0000000;ex -0.5000000;lm -0.6666667;bm  0.6666667",4588,"MUC6","mucin 6 oligomeric mucus/gel-forming","11p15.5","-","7517","158374","NP_005952;XP_006725595;XP_006725823","NM_005961;XM_006725532;XM_006725760","ENSP00000406861","Q6W4X9",TRUE,"can",0,0,0,"Eukaryotes",1,"Multicellular activities","chr11",1013459,1036655,"|MUC-6|","NP_005952",0,FALSE,1,1,0,0,NA,0.0105677471423249,0.0943842737194247,5.85714285714286,NA
"5",11,906708,"bm-lm_bm-ex_lm-ce_bm-ce_ex-ce_lm-ex","BRSK2;BRSK2;BRSK2;BRSK2;MUC5AC;SYT8;SYT8;SYT8;SYT8;BRSK2;KRTAP5-AS1;BRSK2;CHID1;CHID1;CHID1;CHID1;CHID1;AP2A2;AP2A2;MUC6;MUC2;TOLLIP-AS1;MUC5B;TOLLIP;MIR6744;TOLLIP;TOLLIP;TOLLIP;TOLLIP;DUSP8;MOB2;MOB2;FAM99B;FAM99A;FAM99B;KRTAP5-4;KRTAP5-3;KRTAP5-1;KRTAP5-2;KRTAP5-5;KRTAP5-6;IFITM10;CTSD;TNNI2;MIR7847;LSP1;LSP1;LSP1;TNNI2;TNNT3;MIR4298;TNNI2;TNNT3;TNNT3;TNNT3;LSP1;TNNT3;LSP1;LSP1;LINC01150;MRPL23;SNORD131;MIR675;HOTS;MRPL23-AS1;LINC01219;H19;H19;H19","ce  0.0000000;ex -0.5000000;lm -0.6666667;bm  0.6666667",439915,"KRTAP5-5","keratin associated protein 5-5","11p15.5","-","-","-","NP_001001480;XP_003846592;XP_006725597","NM_001001480;XM_003846544;XM_006725534","-","Q701N2",TRUE,"can",0,0,14,"-",0,"-1","chr11",1651071,1651781,"|KRTAP5.5|","NP_001001480",7,FALSE,1,NA,NA,NA,NA,0.0105677471423249,0.0943842737194247,5.85714285714286,NA
"6",10,47702515,"lm-ce_lm-ex_bm-lm_ex-ce_bm-ce_bm-ex","FRMPD2;FRMPD2;FAM35DP;SYT15;LOC102724593;SYT15;CH17-360D5.1;NPY4R;FAM25C;AGAP12P;FAM25G;FRMPD2","ce  0.600000;ex  0.000000;lm -1.333333;bm  0.000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012596245735172,0.0943842737194247,6.08784893267652,NA
"7",5,3061140,"bm-lm_lm-ex_lm-ce_bm-ce_ex-ce_bm-ex","LINC01377;LINC01019;LINC01017;IRX1","ce  0.0;ex  0.5;lm -1.0;bm  1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0138665060157104,0.0943842737194247,5.4,NA
"8",16,3360825,"bm-lm_lm-ex_lm-ce_bm-ce_bm-ex_ex-ce","SRL;ADCY9;CLUAP1;TRAP1;CREBBP;ZNF174;CLUAP1;TRAP1;CREBBP;GLIS2;ZSCAN32;ZSCAN32;ZSCAN32;MTRNR2L4;ZNF174;ZSCAN32;ZNF597;NAA60;C16orf90;NAA60;NAA60;NAA60;NAA60;NAA60;NAA60;MIR6126;NAA60;NAA60;NLRC3;SLX4;DNASE1;NLRC3;LOC102724927;LINC01569;TFAP4","ce  0.0000000;ex  0.2500000;lm -1.0000000;bm  0.6666667",1387,"CREBBP","CREB binding protein","16p13.3","2534","2348","600140","NP_001073315;NP_004371;XP_005255181;XP_005255182;XP_006720911","NM_001079846;NM_004380;XM_005255124;XM_005255125;XM_006720848","ENSP00000262367;ENSP00000263253","Q92793",TRUE,"cgc",1,1,0,"Eukaryotes",1,"Cellular metabolismCellular processesDNA/RNA metabolism and transcriptionRegulation of intracellular processes and metabolismRegulation of transcriptionSignal transduction","chr16",3777722,3929917,"|KAT3A|RSTS|","NP_004371",0,FALSE,4,340,420282,0.055,43,0.0141576410579137,0.0943842737194247,5.36585365853659,NA
"9",2,57744645,"bm-lm_lm-ce_lm-ex_bm-ex_bm-ce_ex-ce","LINC01122;VRK2;VRK2;VRK2;VRK2;VRK2;VRK2;VRK2;FANCL;VRK2;VRK2;FANCL","ce  0.1666667;ex  0.0000000;lm -0.6666667;bm  0.6666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0165241887183352,0.094423935533344,5.11538461538461,NA
"10",19,5324831,"bm-lm_lm-ce_lm-ex_bm-ce_bm-ex_ex-ce","PTPRS;PTPRS;PTPRS;PTPRS;NDUFA11;SAFB;CATSPERD;NDUFA11;SAFB;NDUFA11;SAFB;SAFB;SAFB;SAFB;SAFB;ZNRF4;SAFB2;TINCR;LONP1;RPL36;HSD11B1L;HSD11B1L;HSD11B1L;RPL36;HSD11B1L;HSD11B1L;LONP1;LONP1;HSD11B1L;HSD11B1L;HSD11B1L;HSD11B1L;HSD11B1L;C19orf70;LONP1;C19orf70;NRTN;FUT3;FUT3;FUT6;FUT3;DUS3L;FUT6;FUT5;FUT3;DUS3L;PRR22;LOC101928844;VMAC;CAPS;CAPS","ce  0.0000000;ex  0.0000000;lm -1.0000000;bm  0.3333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0226238056821985,0.112425759394392,4.625,NA
"11",1,1023145,"bm-ex_bm-lm_ex-ce_bm-ce_lm-ce_lm-ex","AGRN;AGRN;TTLL10;VWA1;VWA1;SSU72;PUSL1;MIR429;MIR200B;RNF223;MIR200A;LINC01342;C1orf159;SCNN1D;UBE2J2;TNFRSF18;SDF4;MIR6726;TNFRSF4;SCNN1D;SDF4;UBE2J2;UBE2J2;UBE2J2;TNFRSF18;TNFRSF18;TTLL10;B3GALT6;FAM132A;ACAP3;DVL1;ANKRD65;CPSF3L;CCNL2;MIR6727;AURKAIP1;MIR6808;CCNL2;MXRA8;MXRA8;MXRA8;MXRA8;AURKAIP1;MXRA8;TMEM88B;ANKRD65;ANKRD65;AURKAIP1;CPSF3L;TAS1R3;CPSF3L;CPSF3L;CPSF3L;LOC148413;CPTP;MRPL20;LOC102724312;LOC102724312;LOC102724312;MRPL20;CCNL2;CCNL2;CCNL2;ATAD3C;ATAD3B;ATAD3A;ATAD3A;ATAD3A;ATAD3B;TMEM240;C1orf233","ce  0.0000000;ex -0.6666667;lm -0.5000000;bm  0.6666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0252957958637381,0.112425759394392,5.05594405594406,NA
"12",8,142745213,"lm-ce_ex-ce_bm-lm_bm-ex_lm-ex_bm-ce","ZFP41;LOC100133669;ZC3H3;MROH1;PLEC;PLEC;PLEC;MROH1;MROH1;PLEC;MROH1;PLEC;PLEC;PLEC;PLEC;LYNX1;LY6D;LYNX1;GML;LYNX1;LYNX1;LYNX1;LYPD2;CYP11B1;CYP11B2;CDC42P3;CYP11B1;C8orf31;MIR1302-7;LY6E;LY6E;C8orf31;C8orf31;LY6H;GPIHBP1;LY6H;LY6H;ZFP41;GPIHBP1;MINCR;MINCR;RHPN1;GLI4;RHPN1-AS1;TOP1MT;TOP1MT;TOP1MT;ZNF696;MAFA-AS1;MAFA;EEF1D;EEF1D;EEF1D;ZNF623;NAPRT;MROH6;ZNF623;GSDMD;GSDMD;EEF1D;TSTA3;EEF1D;NAPRT;EEF1D;PYCRL;ZNF623;EEF1D;TIGD5;EEF1D;EEF1D;TSTA3;MAPK15;ZNF707;ZNF707;ZNF707;ZNF707;ZNF707;ZNF707;ZNF707;MIR4664;ZNF707;ZNF707;ZNF707;CCDC166;BREA2;FAM83H;ZNF707;FAM83H-AS1;ZNF707;LOC101928160;PUF60;PUF60;SCRIB;EPPK1;MIR6845;PUF60;PUF60;PUF60;SCRIB;PUF60;MIR937;PUF60;NRBP2;PUF60;GRINA;SPATC1;SPATC1;PARP10;PARP10;MIR661;PARP10;GRINA;MAF1;MIR6847;MIR6846;HGH1;GPAA1;WDR97;SHARPIN;CYC1;OPLAH;SHARPIN;EXOSC4;BOP1;SCX;MIR7112","ce  0.8000000;ex -0.6666667;lm -1.0000000;bm  0.5000000",2765,"GML","glycosylphosphatidylinositol anchored molecule like","8q24.3","3844","4375","602370","NP_002057","NM_002066","ENSP00000220940","Q99445",TRUE,"can",0,0,0,"Mammals",0,"Cell cycleRegulation of intracellular processes and metabolismSignal transduction","chr8",143921854,143928103,"|LY6DL|","NP_002057",0,FALSE,1,NA,NA,NA,NA,0.0360990763665542,0.125003956826612,4.67226890756302,NA
"13",8,142745213,"lm-ce_ex-ce_bm-lm_bm-ex_lm-ex_bm-ce","ZFP41;LOC100133669;ZC3H3;MROH1;PLEC;PLEC;PLEC;MROH1;MROH1;PLEC;MROH1;PLEC;PLEC;PLEC;PLEC;LYNX1;LY6D;LYNX1;GML;LYNX1;LYNX1;LYNX1;LYPD2;CYP11B1;CYP11B2;CDC42P3;CYP11B1;C8orf31;MIR1302-7;LY6E;LY6E;C8orf31;C8orf31;LY6H;GPIHBP1;LY6H;LY6H;ZFP41;GPIHBP1;MINCR;MINCR;RHPN1;GLI4;RHPN1-AS1;TOP1MT;TOP1MT;TOP1MT;ZNF696;MAFA-AS1;MAFA;EEF1D;EEF1D;EEF1D;ZNF623;NAPRT;MROH6;ZNF623;GSDMD;GSDMD;EEF1D;TSTA3;EEF1D;NAPRT;EEF1D;PYCRL;ZNF623;EEF1D;TIGD5;EEF1D;EEF1D;TSTA3;MAPK15;ZNF707;ZNF707;ZNF707;ZNF707;ZNF707;ZNF707;ZNF707;MIR4664;ZNF707;ZNF707;ZNF707;CCDC166;BREA2;FAM83H;ZNF707;FAM83H-AS1;ZNF707;LOC101928160;PUF60;PUF60;SCRIB;EPPK1;MIR6845;PUF60;PUF60;PUF60;SCRIB;PUF60;MIR937;PUF60;NRBP2;PUF60;GRINA;SPATC1;SPATC1;PARP10;PARP10;MIR661;PARP10;GRINA;MAF1;MIR6847;MIR6846;HGH1;GPAA1;WDR97;SHARPIN;CYC1;OPLAH;SHARPIN;EXOSC4;BOP1;SCX;MIR7112","ce  0.8000000;ex -0.6666667;lm -1.0000000;bm  0.5000000",389692,"MAFA","v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog A","8q24.3","14346","23145","610303","NP_963883","NM_201589","ENSP00000349477","Q8NHW3",TRUE,"can",0,0,0,"Eukaryotes",0,"Cell response to stimuliCellular metabolismCellular processesDNA/RNA metabolism and transcriptionRegulation of intracellular processes and metabolismRegulation of transcriptionSignal transduction","chr8",144511518,144512576,"|RIPE3b1|hMafA|","NP_963883",0,FALSE,1,5,57,0.3,NA,0.0360990763665542,0.125003956826612,4.67226890756302,NA
"14",19,49183284,"bm-lm_lm-ex_lm-ce_bm-ce_bm-ex_ex-ce","KCNC3;FUZ;CCDC155;FUZ;FUZ;MYBPC2;TRPM4;TRPM4;TEAD2;SLC6A16;TEAD2;LOC101928295;TEAD2;TEAD2;DKKL1;TEAD2;CD37;MIR4324;DKKL1;DKKL1;CD37;TEAD2;FLT3LG;FCGRT;RCN3;ALDH16A1;FCGRT;SLC17A7;FLT3LG;RPL13A;RPL13A;PIH1D1;SNORD32A;SNORD33;SNORD34;SNORD35A;SNORD35B;FLT3LG;ALDH16A1;MIR150;GFY;RPL13A;FLT3LG;FLT3LG;PTH2;RPS11;IRF3;BCL2L12;RRAS;BCL2L12;BCL2L12;BCL2L12;IRF3;IRF3;IRF3;BCL2L12;PRRG2;IRF3;IRF3;PRRG2;IRF3;BCL2L12;BCL2L12;IRF3;NOSIP;IRF3;BCL2L12;NOSIP;BCL2L12;BCL2L12;BCL2L12;BCL2L12;BCL2L12;SCAF1;PRR12;PRMT1;CPT1C;AP2A1;MIR6799;CPT1C;MIR5088;AP2A1;CPT1C;PRMT1;CPT1C;CPT1C;PRMT1;ADM5;PRMT1;TSKS;IL4I1;AKT1S1;AKT1S1;IL4I1;ATF5;PTOV1;NUP62;NUP62;IL4I1;PTOV1-AS2;NUP62;MIR6800;NUP62;AKT1S1;ATF5;ATF5;IL4I1;TBC1D17;MIR4749;MIR4750;MIR4751;NUP62;PNKP;TBC1D17;IL4I1;MED25;AKT1S1;AKT1S1;PTOV1-AS1;PTOV1;PTOV1;PTOV1;SIGLEC16;ZNF473;SIGLEC11;VRK3;VRK3;SIGLEC11;VRK3;ZNF473;FLJ26850;ZNF473;SNAR-A3;SNAR-A3;SNAR-A3;SNAR-A3;SNAR-A3;SNAR-A3;SNAR-A4;SNAR-A3;SNAR-A4;SNAR-A3;SNAR-A4;SNAR-A3;SNAR-A4;SNAR-A4;SNAR-A4;SNAR-A4;SNAR-A5;SNAR-A7;SNAR-A11;SNAR-A11;SNAR-A6;SNAR-A6;SNAR-A6;SNAR-A6;SNAR-A6;SNAR-A6;SNAR-A6;SNAR-A6;SNAR-A9;SNAR-A9;SNAR-A4;SNAR-A4;SNAR-A5;SNAR-A7;SNAR-A11;SNAR-A8;SNAR-A8;SNAR-A6;SNAR-A5;SNAR-A7;SNAR-A11;SNAR-A8;SNAR-A8;SNAR-A8;SNAR-A8;SNAR-A5;SNAR-A7;SNAR-A11;SNAR-A9;SNAR-A8;SNAR-A8;SNAR-A8;SNAR-A5;SNAR-A7;SNAR-A11;SNAR-A9;SNAR-A10;SNAR-A10;SNAR-A10;SNAR-A10;SNAR-A5;SNAR-A7;SNAR-A9;SNAR-A10;SNAR-A10;SNAR-A10;SNAR-A10;SNAR-A5;SNAR-A11;SNAR-A9;SNAR-B2;SNAR-B2;SNAR-A10;SNAR-A5;SNAR-A7;SNAR-A7;SNAR-A11;SNAR-A9;SNAR-A14;SNAR-A14;SNAR-B1;SNAR-B1;SNAR-A5;SNAR-A7;SNAR-A11;SNAR-A9;SNAR-A14;SNAR-A14;SNAR-A14;SNAR-A14;SNAR-A14;SNAR-A14;SNAR-A14;SNAR-A9;SNAR-D;IZUMO2;MYH14;KCNC3;MYH14;MYH14;NR1H2;SPIB;SPIB;POLD1;SPIB;SPIB;POLD1;NAPSB;NR1H2;POLD1;POLD1;NAPSA;JOSD2;JOSD2;FAM71E1;EMC10;JOSD2;FAM71E1;EMC10;ASPDH;JOSD2;JOSD2;ASPDH;LRRC4B","ce  0.1666667;ex  0.2500000;lm -0.6666667;bm  0.6666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0375011870479836,0.125003956826612,3.88571428571429,NA
